episode,final_state,steps,total_reward,final_velocity,final_altitude,final_x
1,"[-0.07278824 -0.03923087  0.04567665 -0.05291641  0.03834417 -0.2924302
  1.          1.        ]",123,-61.5470094281209,0.06990352,-0.039230872,-0.07278824
4,"[ 0.08539172 -0.03688387 -0.05451644 -0.10852379  0.07155195 -0.6188571
  1.          1.        ]",109,-73.5912295176227,0.12144734,-0.03688387,0.085391715
7,"[-0.07360449 -0.03506079  0.09707852 -0.02038824 -0.0943077   0.11693831
  1.          1.        ]",131,-74.80903585272478,0.09919636,-0.03506079,-0.07360449
9,"[ 0.10532513 -0.03374876 -0.05049995 -0.12540202  0.11071617 -0.7410843
  1.          1.        ]",128,-52.56692389439837,0.13518843,-0.03374876,0.105325125
10,"[ 9.4708063e-02 -4.2792454e-02 -7.5995050e-09  6.5998220e-09
  2.3939724e-04 -3.4511881e-08  1.0000000e+00  0.0000000e+00]",113,-81.43668430462323,1.00652935e-08,-0.042792454,0.09470806
11,"[ 0.08817033 -0.03459212  0.03024821 -0.14378168  0.10012099 -0.83827037
  1.          0.        ]",141,-61.00287183323505,0.14692898,-0.034592118,0.088170335
12,"[-0.07909346 -0.03830122  0.17814277 -0.05393305 -0.05431744  0.2995445
  0.          1.        ]",136,-57.935680888924395,0.18612796,-0.03830122,-0.079093456
14,"[-0.06743679 -0.03081485  0.3014221  -0.0197466  -0.15266253  0.12079227
  1.          1.        ]",128,-60.754818869017356,0.3020682,-0.030814853,-0.06743679
16,"[ 0.09946871 -0.03821518 -0.16121009 -0.12413139  0.05536858 -0.6894058
  1.          1.        ]",126,-66.75939714531381,0.20346326,-0.038215175,0.09946871
19,"[ 0.12014084 -0.04112984 -0.19660705 -0.1326681   0.0202183  -0.7205168
  1.          1.        ]",113,-56.106595301457446,0.2371817,-0.041129842,0.120140836
21,"[ 0.13362332 -0.03745647 -0.11925621 -0.1200683   0.05949321 -0.6881816
  1.          1.        ]",119,-38.35457829894867,0.16922896,-0.037456468,0.13362332
23,"[ 0.08246479 -0.04143869 -0.10524887 -0.07057265  0.02183002 -0.38646808
  1.          1.        ]",107,-39.24402395233153,0.12671946,-0.041438688,0.08246479
30,"[-0.07153311 -0.03943469  0.06298887 -0.11218429  0.04051958 -0.6203581
  1.          1.        ]",121,-75.90592757359916,0.12865812,-0.039434686,-0.071533106
32,"[ 0.05958014 -0.03193902  0.04069883 -0.07243962  0.13391149 -0.4354674
  1.          1.        ]",142,-30.054524600879176,0.083089665,-0.03193902,0.059580136
34,"[-0.04995661 -0.04052087  0.04778532  0.00315529 -0.02463893 -0.01701981
  1.          1.        ]",108,-29.839535628612197,0.04788938,-0.040520873,-0.04995661
37,"[-0.05708332 -0.04240142  0.2380952  -0.28845894  0.00446546 -1.642297
  1.          1.        ]",115,-51.886552909721814,0.37402925,-0.04240142,-0.05708332
39,"[ 0.12729664 -0.0422013  -0.12305492 -0.09337125  0.0062428  -0.5119268
  1.          1.        ]",118,-26.86846856474989,0.1544691,-0.042201295,0.12729664
